case_id,activity_name,resource,start_timestamp,end_timestamp,agent
14,Take in charge ticket,Value 2,2010-06-29 04:35:47+00:00,2010-06-29 04:35:47+00:00,0
14,Resolve ticket,Value 2,2010-06-29 05:33:07+00:00,2010-06-29 05:33:07+00:00,0
14,Closed,Value 5,2010-08-05 10:50:24+00:00,2010-08-05 10:50:24+00:00,5
16,Insert ticket,Value 15,2011-09-06 12:37:27+00:00,2011-09-06 12:37:27+00:00,1
16,Assign seriousness,Value 15,2011-09-06 12:44:32+00:00,2011-09-06 12:44:32+00:00,1
16,Take in charge ticket,Value 15,2011-09-06 12:44:54+00:00,2011-09-06 12:44:54+00:00,1
16,Resolve ticket,Value 15,2011-09-06 12:55:58+00:00,2011-09-06 12:55:58+00:00,1
16,Closed,Value 5,2011-10-22 12:40:25+00:00,2011-10-22 12:40:25+00:00,5
17,Assign seriousness,Value 2,2010-05-25 12:14:28+00:00,2010-05-25 12:14:28+00:00,0
17,Take in charge ticket,Value 2,2010-05-28 12:38:09+00:00,2010-05-28 12:38:09+00:00,0
17,Resolve ticket,Value 2,2010-05-28 12:38:45+00:00,2010-05-28 12:38:45+00:00,0
17,Closed,Value 5,2010-06-26 12:20:26+00:00,2010-06-26 12:20:26+00:00,5
18,Assign seriousness,Value 1,2011-11-30 14:32:54+00:00,2011-11-30 14:32:54+00:00,17
18,Resolve ticket,Value 9,2011-12-12 14:50:49+00:00,2011-12-12 14:50:49+00:00,11
18,Closed,Value 5,2012-01-13 14:40:37+00:00,2012-01-13 14:40:37+00:00,5
19,Assign seriousness,Value 8,2010-12-28 08:41:06+00:00,2010-12-28 08:41:06+00:00,14
19,Take in charge ticket,Value 6,2010-12-30 06:50:44+00:00,2010-12-30 06:50:44+00:00,8
19,Wait,Value 6,2010-12-30 06:51:13+00:00,2010-12-30 06:51:13+00:00,8
19,Take in charge ticket,Value 6,2011-01-13 14:53:03+00:00,2011-01-13 14:53:03+00:00,8
19,Resolve ticket,Value 6,2011-01-13 14:55:17+00:00,2011-01-13 14:55:17+00:00,8
19,Closed,Value 5,2011-01-28 14:55:37+00:00,2011-01-28 14:55:37+00:00,5
20,Assign seriousness,Value 1,2012-02-10 12:44:10+00:00,2012-02-10 12:44:10+00:00,17
20,Take in charge ticket,Value 2,2012-02-10 13:48:04+00:00,2012-02-10 13:48:04+00:00,0
20,Resolve ticket,Value 2,2012-02-15 09:07:17+00:00,2012-02-15 09:07:17+00:00,0
20,Closed,Value 5,2012-03-14 12:50:15+00:00,2012-03-14 12:50:15+00:00,5
21,Assign seriousness,Value 8,2011-04-13 04:43:01+00:00,2011-04-13 04:43:01+00:00,14
21,Take in charge ticket,Value 8,2011-04-13 04:45:30+00:00,2011-04-13 04:45:30+00:00,14
21,Resolve ticket,Value 16,2011-04-13 11:57:33+00:00,2011-04-13 11:57:33+00:00,3
21,Closed,Value 5,2011-06-11 04:50:56+00:00,2011-06-11 04:50:56+00:00,5
23,Assign seriousness,Value 14,2010-09-16 06:03:22+00:00,2010-09-16 06:03:22+00:00,9
23,Take in charge ticket,Value 14,2010-09-16 06:48:31+00:00,2010-09-16 06:48:31+00:00,9
23,Resolve ticket,Value 2,2010-09-21 05:24:19+00:00,2010-09-21 05:24:19+00:00,0
23,Closed,Value 5,2010-11-05 07:24:51+00:00,2010-11-05 07:24:51+00:00,5
25,Assign seriousness,Value 4,2012-01-30 07:09:29+00:00,2012-01-30 07:09:29+00:00,18
25,Take in charge ticket,Value 4,2012-01-30 07:09:57+00:00,2012-01-30 07:09:57+00:00,18
25,Resolve ticket,Value 2,2012-01-31 06:12:06+00:00,2012-01-31 06:12:06+00:00,0
25,Closed,Value 5,2012-03-16 07:12:11+00:00,2012-03-16 07:12:11+00:00,5
26,Assign seriousness,Value 4,2012-05-15 05:09:38+00:00,2012-05-15 05:09:38+00:00,18
26,Take in charge ticket,Value 4,2012-05-15 05:09:57+00:00,2012-05-15 05:09:57+00:00,18
26,Wait,Value 4,2012-05-28 12:21:32+00:00,2012-05-28 12:21:32+00:00,18
26,Resolve ticket,Value 4,2012-06-04 07:49:46+00:00,2012-06-04 07:49:46+00:00,18
26,Closed,Value 5,2012-07-06 10:30:28+00:00,2012-07-06 10:30:28+00:00,5
27,Assign seriousness,Value 6,2010-05-18 11:59:36+00:00,2010-05-18 11:59:36+00:00,8
27,Take in charge ticket,Value 2,2010-05-19 05:08:06+00:00,2010-05-19 05:08:06+00:00,0
27,Resolve ticket,Value 2,2010-05-20 07:17:39+00:00,2010-05-20 07:17:39+00:00,0
27,Closed,Value 5,2010-06-25 12:01:30+00:00,2010-06-25 12:01:30+00:00,5
28,Assign seriousness,Value 1,2012-01-05 14:55:40+00:00,2012-01-05 14:55:40+00:00,17
28,Assign seriousness,Value 1,2012-01-05 14:55:53+00:00,2012-01-05 14:55:53+00:00,17
28,Take in charge ticket,Value 2,2012-01-11 09:59:45+00:00,2012-01-11 09:59:45+00:00,0
28,Resolve ticket,Value 2,2012-01-12 08:39:39+00:00,2012-01-12 08:39:39+00:00,0
28,Closed,Value 5,2012-02-07 15:00:35+00:00,2012-02-07 15:00:35+00:00,5
30,Assign seriousness,Value 13,2011-07-14 04:22:19+00:00,2011-07-14 04:22:19+00:00,15
30,Assign seriousness,Value 15,2011-07-15 07:40:41+00:00,2011-07-15 07:40:41+00:00,1
30,Take in charge ticket,Value 15,2011-07-15 09:44:17+00:00,2011-07-15 09:44:17+00:00,1
30,Resolve ticket,Value 15,2011-07-18 05:33:09+00:00,2011-07-18 05:33:09+00:00,1
30,Closed,Value 5,2011-08-20 04:31:38+00:00,2011-08-20 04:31:38+00:00,5
31,Assign seriousness,Value 8,2011-03-18 07:41:58+00:00,2011-03-18 07:41:58+00:00,14
31,Take in charge ticket,Value 8,2011-03-18 07:42:34+00:00,2011-03-18 07:42:34+00:00,14
31,Wait,Value 2,2011-03-25 12:24:59+00:00,2011-03-25 12:24:59+00:00,0
31,Take in charge ticket,Value 2,2011-04-20 12:42:11+00:00,2011-04-20 12:42:11+00:00,0
31,Resolve ticket,Value 2,2011-04-20 12:42:20+00:00,2011-04-20 12:42:20+00:00,0
31,Closed,Value 5,2011-05-05 12:42:36+00:00,2011-05-05 12:42:36+00:00,5
34,Assign seriousness,Value 8,2010-12-28 06:31:42+00:00,2010-12-28 06:31:42+00:00,14
34,Take in charge ticket,Value 6,2011-01-14 08:45:45+00:00,2011-01-14 08:45:45+00:00,8
34,Resolve ticket,Value 6,2011-01-14 08:46:06+00:00,2011-01-14 08:46:06+00:00,8
34,Closed,Value 5,2011-01-29 08:46:26+00:00,2011-01-29 08:46:26+00:00,5
35,Assign seriousness,Value 1,2012-05-09 06:25:28+00:00,2012-05-09 06:25:28+00:00,17
35,Take in charge ticket,Value 10,2012-05-09 10:22:38+00:00,2012-05-09 10:22:38+00:00,6
35,Resolve ticket,Value 1,2012-05-09 10:40:52+00:00,2012-05-09 10:40:52+00:00,17
35,Closed,Value 5,2012-06-09 06:30:28+00:00,2012-06-09 06:30:28+00:00,5
36,Assign seriousness,Value 2,2010-06-07 04:30:54+00:00,2010-06-07 04:30:54+00:00,0
36,Assign seriousness,Value 2,2010-06-07 04:49:10+00:00,2010-06-07 04:49:10+00:00,0
36,Take in charge ticket,Value 15,2010-06-07 12:16:44+00:00,2010-06-07 12:16:44+00:00,1
36,Wait,Value 15,2010-06-08 07:37:29+00:00,2010-06-08 07:37:29+00:00,1
36,Take in charge ticket,Value 15,2010-06-09 04:18:05+00:00,2010-06-09 04:18:05+00:00,1
36,Create SW anomaly,Value 15,2010-06-09 04:18:28+00:00,2010-06-09 04:18:28+00:00,1
36,Resolve ticket,Value 15,2010-06-16 06:23:07+00:00,2010-06-16 06:23:07+00:00,1
36,Closed,Value 5,2010-07-16 06:23:33+00:00,2010-07-16 06:23:33+00:00,5
37,Assign seriousness,Value 2,2010-02-04 07:40:52+00:00,2010-02-04 07:40:52+00:00,0
37,Assign seriousness,Value 2,2010-02-04 07:41:05+00:00,2010-02-04 07:41:05+00:00,0
37,Take in charge ticket,Value 2,2010-02-04 07:41:23+00:00,2010-02-04 07:41:23+00:00,0
37,Create SW anomaly,Value 2,2010-02-04 07:41:33+00:00,2010-02-04 07:41:33+00:00,0
37,Resolve ticket,Value 2,2010-02-22 12:05:31+00:00,2010-02-22 12:05:31+00:00,0
37,Closed,Value 5,2010-03-09 12:05:44+00:00,2010-03-09 12:05:44+00:00,5
38,Assign seriousness,Value 8,2011-02-24 11:41:36+00:00,2011-02-24 11:41:36+00:00,14
38,Take in charge ticket,Value 8,2011-02-24 11:41:54+00:00,2011-02-24 11:41:54+00:00,14
38,Wait,Value 9,2011-03-07 14:53:23+00:00,2011-03-07 14:53:23+00:00,11
38,Take in charge ticket,Value 9,2011-03-25 07:53:46+00:00,2011-03-25 07:53:46+00:00,11
38,Resolve ticket,Value 9,2011-03-25 07:54:11+00:00,2011-03-25 07:54:11+00:00,11
38,Closed,Value 5,2011-04-15 11:50:58+00:00,2011-04-15 11:50:58+00:00,5
39,Assign seriousness,Value 1,2012-04-11 12:07:25+00:00,2012-04-11 12:07:25+00:00,17
39,Take in charge ticket,Value 1,2012-04-11 12:07:34+00:00,2012-04-11 12:07:34+00:00,17
39,Wait,Value 1,2012-04-17 09:29:31+00:00,2012-04-17 09:29:31+00:00,17
39,Resolve ticket,Value 1,2012-05-15 09:31:57+00:00,2012-05-15 09:31:57+00:00,17
39,Closed,Value 5,2012-06-01 12:20:26+00:00,2012-06-01 12:20:26+00:00,5
40,Assign seriousness,Value 1,2011-11-10 06:25:05+00:00,2011-11-10 06:25:05+00:00,17
40,Take in charge ticket,Value 2,2011-11-18 09:29:26+00:00,2011-11-18 09:29:26+00:00,0
40,Wait,Value 2,2011-11-23 14:07:21+00:00,2011-11-23 14:07:21+00:00,0
40,Resolve ticket,Value 2,2011-12-12 07:40:33+00:00,2011-12-12 07:40:33+00:00,0
40,Closed,Value 5,2011-12-29 09:10:47+00:00,2011-12-29 09:10:47+00:00,5
41,Assign seriousness,Value 1,2011-12-13 06:22:23+00:00,2011-12-13 06:22:23+00:00,17
41,Take in charge ticket,Value 4,2011-12-13 06:27:18+00:00,2011-12-13 06:27:18+00:00,18
41,Resolve ticket,Value 4,2011-12-13 09:50:30+00:00,2011-12-13 09:50:30+00:00,18
41,Closed,Value 5,2012-01-13 06:30:30+00:00,2012-01-13 06:30:30+00:00,5
42,Assign seriousness,Value 9,2010-12-20 11:19:58+00:00,2010-12-20 11:19:58+00:00,11
42,Assign seriousness,Value 2,2010-12-20 14:42:41+00:00,2010-12-20 14:42:41+00:00,0
42,Take in charge ticket,Value 2,2010-12-20 14:42:50+00:00,2010-12-20 14:42:50+00:00,0
42,Wait,Value 9,2010-12-21 06:59:57+00:00,2010-12-21 06:59:57+00:00,11
42,Take in charge ticket,Value 2,2010-12-22 14:57:41+00:00,2010-12-22 14:57:41+00:00,0
42,Resolve ticket,Value 2,2010-12-22 14:58:03+00:00,2010-12-22 14:58:03+00:00,0
42,Closed,Value 5,2011-01-21 14:58:17+00:00,2011-01-21 14:58:17+00:00,5
43,Assign seriousness,Value 1,2012-05-29 12:38:19+00:00,2012-05-29 12:38:19+00:00,17
43,Take in charge ticket,Value 1,2012-05-29 12:38:27+00:00,2012-05-29 12:38:27+00:00,17
43,Wait,Value 1,2012-05-30 11:35:37+00:00,2012-05-30 11:35:37+00:00,17
43,Take in charge ticket,Value 1,2012-05-30 12:32:51+00:00,2012-05-30 12:32:51+00:00,17
43,Resolve ticket,Value 1,2012-06-01 09:40:27+00:00,2012-06-01 09:40:27+00:00,17
43,Closed,Value 5,2012-06-30 04:41:01+00:00,2012-06-30 04:41:01+00:00,5
44,Assign seriousness,Value 4,2011-10-24 07:11:15+00:00,2011-10-24 07:11:15+00:00,18
44,Take in charge ticket,Value 1,2011-10-24 07:19:04+00:00,2011-10-24 07:19:04+00:00,17
44,Resolve ticket,Value 1,2011-10-24 08:02:57+00:00,2011-10-24 08:02:57+00:00,17
44,Closed,Value 5,2011-12-09 09:20:28+00:00,2011-12-09 09:20:28+00:00,5
46,Assign seriousness,Value 1,2012-06-28 07:14:33+00:00,2012-06-28 07:14:33+00:00,17
46,Take in charge ticket,Value 4,2012-06-28 07:55:42+00:00,2012-06-28 07:55:42+00:00,18
46,Resolve ticket,Value 4,2012-06-29 11:35:15+00:00,2012-06-29 11:35:15+00:00,18
46,Closed,Value 5,2012-07-31 07:20:39+00:00,2012-07-31 07:20:39+00:00,5
47,Assign seriousness,Value 8,2011-01-27 06:34:59+00:00,2011-01-27 06:34:59+00:00,14
47,Take in charge ticket,Value 17,2011-01-27 07:32:40+00:00,2011-01-27 07:32:40+00:00,13
47,Resolve ticket,Value 17,2011-01-27 07:34:24+00:00,2011-01-27 07:34:24+00:00,13
47,Closed,Value 5,2011-03-05 06:42:36+00:00,2011-03-05 06:42:36+00:00,5
48,Assign seriousness,Value 1,2012-02-20 06:07:43+00:00,2012-02-20 06:07:43+00:00,17
48,Take in charge ticket,Value 1,2012-02-20 06:07:57+00:00,2012-02-20 06:07:57+00:00,17
48,Resolve ticket,Value 1,2012-02-21 14:35:15+00:00,2012-02-21 14:35:15+00:00,17
48,Closed,Value 5,2012-04-04 04:10:38+00:00,2012-04-04 04:10:38+00:00,5
49,Assign seriousness,Value 1,2012-05-02 07:44:47+00:00,2012-05-02 07:44:47+00:00,17
49,Take in charge ticket,Value 1,2012-05-02 07:44:54+00:00,2012-05-02 07:44:54+00:00,17
49,Resolve ticket,Value 1,2012-05-08 05:37:30+00:00,2012-05-08 05:37:30+00:00,17
49,Closed,Value 5,2012-06-09 07:50:29+00:00,2012-06-09 07:50:29+00:00,5
50,Assign seriousness,Value 1,2012-05-23 05:22:52+00:00,2012-05-23 05:22:52+00:00,17
50,Take in charge ticket,Value 9,2012-05-23 07:07:38+00:00,2012-05-23 07:07:38+00:00,11
50,Resolve ticket,Value 9,2012-05-23 11:24:29+00:00,2012-05-23 11:24:29+00:00,11
50,Closed,Value 5,2012-06-23 05:30:21+00:00,2012-06-23 05:30:21+00:00,5
52,Assign seriousness,Value 2,2010-05-13 11:45:13+00:00,2010-05-13 11:45:13+00:00,0
52,Take in charge ticket,Value 16,2010-05-17 13:21:00+00:00,2010-05-17 13:21:00+00:00,3
52,Resolve ticket,Value 16,2010-05-17 14:10:24+00:00,2010-05-17 14:10:24+00:00,3
52,Take in charge ticket,Value 16,2010-05-18 05:21:15+00:00,2010-05-18 05:21:15+00:00,3
52,Wait,Value 16,2010-05-18 05:44:56+00:00,2010-05-18 05:44:56+00:00,3
52,Take in charge ticket,Value 16,2010-05-18 06:26:17+00:00,2010-05-18 06:26:17+00:00,3
52,Resolve ticket,Value 16,2010-05-18 06:28:09+00:00,2010-05-18 06:28:09+00:00,3
52,Closed,Value 5,2010-06-26 11:50:32+00:00,2010-06-26 11:50:32+00:00,5
53,Assign seriousness,Value 9,2011-06-24 07:10:25+00:00,2011-06-24 07:10:25+00:00,11
53,Take in charge ticket,Value 2,2011-06-27 10:36:12+00:00,2011-06-27 10:36:12+00:00,0
53,Resolve ticket,Value 2,2011-06-27 10:37:30+00:00,2011-06-27 10:37:30+00:00,0
53,Closed,Value 5,2011-08-22 07:20:40+00:00,2011-08-22 07:20:40+00:00,5
54,Assign seriousness,Value 1,2012-04-02 05:42:04+00:00,2012-04-02 05:42:04+00:00,17
54,Take in charge ticket,Value 1,2012-04-02 05:42:15+00:00,2012-04-02 05:42:15+00:00,17
54,Resolve ticket,Value 1,2012-04-02 07:12:04+00:00,2012-04-02 07:12:04+00:00,17
54,Closed,Value 5,2012-05-18 05:52:05+00:00,2012-05-18 05:52:05+00:00,5
55,Assign seriousness,Value 13,2011-07-14 07:17:31+00:00,2011-07-14 07:17:31+00:00,15
55,Assign seriousness,Value 13,2011-07-15 04:34:30+00:00,2011-07-15 04:34:30+00:00,15
55,Take in charge ticket,Value 7,2011-07-15 06:49:56+00:00,2011-07-15 06:49:56+00:00,12
55,Wait,Value 7,2011-07-15 06:51:05+00:00,2011-07-15 06:51:05+00:00,12
55,Resolve ticket,Value 2,2011-07-15 10:18:05+00:00,2011-07-15 10:18:05+00:00,0
55,Closed,Value 5,2011-08-27 07:20:45+00:00,2011-08-27 07:20:45+00:00,5
56,Assign seriousness,Value 9,2010-12-13 08:53:33+00:00,2010-12-13 08:53:33+00:00,11
56,Take in charge ticket,Value 9,2010-12-13 08:53:45+00:00,2010-12-13 08:53:45+00:00,11
56,Wait,Value 9,2010-12-13 08:54:14+00:00,2010-12-13 08:54:14+00:00,11
56,Take in charge ticket,Value 9,2010-12-30 06:41:02+00:00,2010-12-30 06:41:02+00:00,11
56,Resolve ticket,Value 9,2010-12-30 06:41:14+00:00,2010-12-30 06:41:14+00:00,11
56,Closed,Value 5,2011-01-19 06:50:44+00:00,2011-01-19 06:50:44+00:00,5
57,Assign seriousness,Value 1,2012-02-09 12:14:35+00:00,2012-02-09 12:14:35+00:00,17
57,Take in charge ticket,Value 1,2012-02-09 12:15:26+00:00,2012-02-09 12:15:26+00:00,17
57,Resolve ticket,Value 2,2012-02-14 14:45:38+00:00,2012-02-14 14:45:38+00:00,0
57,Resolve ticket,Value 2,2012-02-14 14:45:38+00:00,2012-02-14 14:45:38+00:00,0
57,Closed,Value 5,2012-03-24 12:20:38+00:00,2012-03-24 12:20:38+00:00,5
59,Assign seriousness,Value 8,2011-05-12 05:27:06+00:00,2011-05-12 05:27:06+00:00,14
59,Take in charge ticket,Value 8,2011-05-12 05:27:37+00:00,2011-05-12 05:27:37+00:00,14
59,Wait,Value 9,2011-05-13 07:46:18+00:00,2011-05-13 07:46:18+00:00,11
59,Take in charge ticket,Value 9,2011-05-20 04:05:57+00:00,2011-05-20 04:05:57+00:00,11
59,Resolve ticket,Value 9,2011-05-20 04:06:09+00:00,2011-05-20 04:06:09+00:00,11
59,Take in charge ticket,Value 9,2011-06-07 06:09:31+00:00,2011-06-07 06:09:31+00:00,11
59,Wait,Value 9,2011-06-08 05:09:20+00:00,2011-06-08 05:09:20+00:00,11
59,Take in charge ticket,Value 9,2011-06-08 09:44:40+00:00,2011-06-08 09:44:40+00:00,11
59,Resolve ticket,Value 9,2011-06-08 09:44:48+00:00,2011-06-08 09:44:48+00:00,11
59,Closed,Value 5,2011-06-23 09:44:59+00:00,2011-06-23 09:44:59+00:00,5
60,Assign seriousness,Value 9,2010-12-27 06:06:01+00:00,2010-12-27 06:06:01+00:00,11
60,Take in charge ticket,Value 2,2010-12-27 12:46:09+00:00,2010-12-27 12:46:09+00:00,0
60,Resolve ticket,Value 2,2011-01-18 09:26:09+00:00,2011-01-18 09:26:09+00:00,0
60,Closed,Value 5,2011-02-02 09:26:23+00:00,2011-02-02 09:26:23+00:00,5
61,Assign seriousness,Value 8,2011-02-03 12:26:08+00:00,2011-02-03 12:26:08+00:00,14
61,Take in charge ticket,Value 8,2011-02-03 14:19:25+00:00,2011-02-03 14:19:25+00:00,14
61,Resolve ticket,Value 8,2011-02-03 14:20:49+00:00,2011-02-03 14:20:49+00:00,14
61,Closed,Value 5,2011-04-03 10:30:41+00:00,2011-04-03 10:30:41+00:00,5
62,Assign seriousness,Value 8,2011-06-30 11:53:16+00:00,2011-06-30 11:53:16+00:00,14
62,Assign seriousness,Value 8,2011-06-30 11:53:32+00:00,2011-06-30 11:53:32+00:00,14
62,Take in charge ticket,Value 9,2011-07-05 11:22:24+00:00,2011-07-05 11:22:24+00:00,11
62,Wait,Value 9,2011-07-05 11:26:48+00:00,2011-07-05 11:26:48+00:00,11
62,Resolve ticket,Value 9,2011-07-20 10:19:43+00:00,2011-07-20 10:19:43+00:00,11
62,Closed,Value 5,2011-08-04 10:20:00+00:00,2011-08-04 10:20:00+00:00,5
64,Assign seriousness,Value 4,2012-01-23 13:13:31+00:00,2012-01-23 13:13:31+00:00,18
64,Take in charge ticket,Value 13,2012-01-23 14:49:47+00:00,2012-01-23 14:49:47+00:00,15
64,Resolve ticket,Value 13,2012-01-24 12:19:03+00:00,2012-01-24 12:19:03+00:00,15
64,Closed,Value 5,2012-02-23 13:20:47+00:00,2012-02-23 13:20:47+00:00,5
65,Assign seriousness,Value 1,2012-06-06 09:08:26+00:00,2012-06-06 09:08:26+00:00,17
65,Take in charge ticket,Value 1,2012-06-06 09:08:43+00:00,2012-06-06 09:08:43+00:00,17
65,Resolve ticket,Value 1,2012-06-06 12:16:31+00:00,2012-06-06 12:16:31+00:00,17
65,Closed,Value 5,2012-07-07 09:10:46+00:00,2012-07-07 09:10:46+00:00,5
67,Assign seriousness,Value 1,2012-06-28 09:24:41+00:00,2012-06-28 09:24:41+00:00,17
67,Take in charge ticket,Value 1,2012-06-28 09:25:05+00:00,2012-06-28 09:25:05+00:00,17
67,Wait,Value 1,2012-07-13 10:26:12+00:00,2012-07-13 10:26:12+00:00,17
67,Resolve ticket,Value 1,2012-07-18 12:43:16+00:00,2012-07-18 12:43:16+00:00,17
67,Closed,Value 5,2012-08-02 12:43:35+00:00,2012-08-02 12:43:35+00:00,5
68,Assign seriousness,Value 4,2012-01-09 05:53:54+00:00,2012-01-09 05:53:54+00:00,18
68,Take in charge ticket,Value 4,2012-01-09 07:30:45+00:00,2012-01-09 07:30:45+00:00,18
68,Resolve ticket,Value 4,2012-01-09 08:31:05+00:00,2012-01-09 08:31:05+00:00,18
68,Closed,Value 5,2012-02-19 15:00:46+00:00,2012-02-19 15:00:46+00:00,5
70,Assign seriousness,Value 13,2011-09-02 10:25:55+00:00,2011-09-02 10:25:55+00:00,15
70,Take in charge ticket,Value 13,2011-09-14 10:30:44+00:00,2011-09-14 10:30:44+00:00,15
70,Resolve ticket,Value 13,2011-09-19 10:56:27+00:00,2011-09-19 10:56:27+00:00,15
70,Closed,Value 5,2011-10-04 10:56:37+00:00,2011-10-04 10:56:37+00:00,5
71,Assign seriousness,Value 8,2011-06-21 05:55:05+00:00,2011-06-21 05:55:05+00:00,14
71,Assign seriousness,Value 8,2011-06-21 05:55:21+00:00,2011-06-21 05:55:21+00:00,14
71,Take in charge ticket,Value 13,2011-06-27 06:24:28+00:00,2011-06-27 06:24:28+00:00,15
71,Wait,Value 13,2011-07-20 10:14:44+00:00,2011-07-20 10:14:44+00:00,15
71,Resolve ticket,Value 13,2011-07-28 06:26:55+00:00,2011-07-28 06:26:55+00:00,15
71,Closed,Value 5,2011-08-12 06:27:14+00:00,2011-08-12 06:27:14+00:00,5
72,Take in charge ticket,Value 1,2012-01-11 14:46:12+00:00,2012-01-11 14:46:12+00:00,17
72,Wait,Value 1,2012-01-12 11:49:28+00:00,2012-01-12 11:49:28+00:00,17
72,Resolve ticket,Value 1,2012-02-07 13:06:45+00:00,2012-02-07 13:06:45+00:00,17
72,Closed,Value 5,2012-03-09 07:11:08+00:00,2012-03-09 07:11:08+00:00,5
74,Assign seriousness,Value 4,2012-05-21 12:39:11+00:00,2012-05-21 12:39:11+00:00,18
74,Take in charge ticket,Value 1,2012-05-22 04:34:16+00:00,2012-05-22 04:34:16+00:00,17
74,Resolve ticket,Value 1,2012-05-29 04:08:42+00:00,2012-05-29 04:08:42+00:00,17
74,Closed,Value 5,2012-07-13 12:41:15+00:00,2012-07-13 12:41:15+00:00,5
75,Assign seriousness,Value 13,2011-08-22 11:39:21+00:00,2011-08-22 11:39:21+00:00,15
75,Resolve ticket,Value 9,2011-08-25 09:58:59+00:00,2011-08-25 09:58:59+00:00,11
75,Closed,Value 5,2011-09-22 11:40:15+00:00,2011-09-22 11:40:15+00:00,5
76,Assign seriousness,Value 1,2012-05-24 06:32:06+00:00,2012-05-24 06:32:06+00:00,17
76,Take in charge ticket,Value 2,2012-05-25 06:42:28+00:00,2012-05-25 06:42:28+00:00,0
