case_id,activity,resource,start_time,end_time
15,Receive,agent_1,2021-01-09 15:00:00+0000,2021-01-09 15:00:00+0000
15,Review,agent_0,2021-01-09 17:40:00+0000,2021-01-09 17:40:00+0000
15,Decide,agent_0,2021-01-09 19:25:00+0000,2021-01-09 19:25:00+0000
15,Notify,agent_0,2021-01-09 21:04:00+0000,2021-01-09 21:04:00+0000
16,Receive,agent_1,2021-01-05 06:00:00+0000,2021-01-05 06:00:00+0000
16,Review,agent_0,2021-01-05 06:52:00+0000,2021-01-05 06:52:00+0000
16,Decide,agent_1,2021-01-05 08:59:00+0000,2021-01-05 08:59:00+0000
16,Notify,agent_0,2021-01-05 09:19:00+0000,2021-01-05 09:19:00+0000
17,Receive,agent_0,2021-01-22 11:00:00+0000,2021-01-22 11:00:00+0000
17,Review,agent_0,2021-01-22 12:11:00+0000,2021-01-22 12:11:00+0000
17,Decide,agent_0,2021-01-22 13:12:00+0000,2021-01-22 13:12:00+0000
17,Notify,agent_2,2021-01-22 16:02:00+0000,2021-01-22 16:02:00+0000
18,Receive,agent_1,2021-01-22 22:00:00+0000,2021-01-22 22:00:00+0000
18,Review,agent_3,2021-01-22 22:20:00+0000,2021-01-22 22:20:00+0000
18,Decide,agent_0,2021-01-22 22:35:00+0000,2021-01-22 22:35:00+0000
18,Notify,agent_1,2021-01-23 00:20:00+0000,2021-01-23 00:20:00+0000
19,Receive,agent_3,2021-01-19 15:00:00+0000,2021-01-19 15:00:00+0000
19,Review,agent_1,2021-01-19 17:30:00+0000,2021-01-19 17:30:00+0000
19,Decide,agent_1,2021-01-19 20:27:00+0000,2021-01-19 20:27:00+0000
19,Notify,agent_1,2021-01-19 20:46:00+0000,2021-01-19 20:46:00+0000
20,Receive,agent_2,2021-01-18 22:00:00+0000,2021-01-18 22:00:00+0000
20,Review,agent_3,2021-01-18 22:35:00+0000,2021-01-18 22:35:00+0000
20,Decide,agent_1,2021-01-19 01:30:00+0000,2021-01-19 01:30:00+0000
20,Notify,agent_3,2021-01-19 01:38:00+0000,2021-01-19 01:38:00+0000
21,Receive,agent_2,2021-01-21 19:00:00+0000,2021-01-21 19:00:00+0000
21,Review,agent_2,2021-01-21 21:51:00+0000,2021-01-21 21:51:00+0000
21,Decide,agent_2,2021-01-21 23:35:00+0000,2021-01-21 23:35:00+0000
21,Notify,agent_0,2021-01-22 00:19:00+0000,2021-01-22 00:19:00+0000
22,Receive,agent_2,2021-01-07 16:00:00+0000,2021-01-07 16:00:00+0000
22,Review,agent_2,2021-01-07 16:16:00+0000,2021-01-07 16:16:00+0000
22,Decide,agent_1,2021-01-07 16:55:00+0000,2021-01-07 16:55:00+0000
22,Notify,agent_2,2021-01-07 19:03:00+0000,2021-01-07 19:03:00+0000
23,Receive,agent_2,2021-01-16 14:00:00+0000,2021-01-16 14:00:00+0000
23,Review,agent_1,2021-01-16 16:36:00+0000,2021-01-16 16:36:00+0000
23,Decide,agent_3,2021-01-16 18:00:00+0000,2021-01-16 18:00:00+0000
23,Notify,agent_0,2021-01-16 19:51:00+0000,2021-01-16 19:51:00+0000
24,Receive,agent_2,2021-01-12 12:00:00+0000,2021-01-12 12:00:00+0000
24,Review,agent_1,2021-01-12 12:45:00+0000,2021-01-12 12:45:00+0000
24,Decide,agent_3,2021-01-12 13:47:00+0000,2021-01-12 13:47:00+0000
24,Notify,agent_3,2021-01-12 15:28:00+0000,2021-01-12 15:28:00+0000
25,Receive,agent_3,2021-01-21 11:00:00+0000,2021-01-21 11:00:00+0000
25,Review,agent_0,2021-01-21 13:54:00+0000,2021-01-21 13:54:00+0000
25,Decide,agent_3,2021-01-21 14:41:00+0000,2021-01-21 14:41:00+0000
25,Notify,agent_2,2021-01-21 15:02:00+0000,2021-01-21 15:02:00+0000
26,Receive,agent_3,2021-01-23 09:00:00+0000,2021-01-23 09:00:00+0000
26,Review,agent_0,2021-01-23 11:28:00+0000,2021-01-23 11:28:00+0000
26,Decide,agent_3,2021-01-23 11:42:00+0000,2021-01-23 11:42:00+0000
26,Notify,agent_2,2021-01-23 13:10:00+0000,2021-01-23 13:10:00+0000
27,Receive,agent_3,2021-01-06 11:00:00+0000,2021-01-06 11:00:00+0000
27,Review,agent_0,2021-01-06 11:53:00+0000,2021-01-06 11:53:00+0000
27,Decide,agent_0,2021-01-06 12:31:00+0000,2021-01-06 12:31:00+0000
27,Notify,agent_3,2021-01-06 14:18:00+0000,2021-01-06 14:18:00+0000
28,Receive,agent_1,2021-01-04 11:00:00+0000,2021-01-04 11:00:00+0000
28,Review,agent_0,2021-01-04 11:08:00+0000,2021-01-04 11:08:00+0000
28,Decide,agent_0,2021-01-04 14:05:00+0000,2021-01-04 14:05:00+0000
28,Notify,agent_0,2021-01-04 14:58:00+0000,2021-01-04 14:58:00+0000
29,Receive,agent_2,2021-01-12 19:00:00+0000,2021-01-12 19:00:00+0000
29,Review,agent_1,2021-01-12 20:16:00+0000,2021-01-12 20:16:00+0000
29,Decide,agent_3,2021-01-12 20:46:00+0000,2021-01-12 20:46:00+0000
29,Notify,agent_0,2021-01-12 22:32:00+0000,2021-01-12 22:32:00+0000
30,Receive,agent_3,2021-01-16 01:00:00+0000,2021-01-16 01:00:00+0000
30,Review,agent_2,2021-01-16 01:34:00+0000,2021-01-16 01:34:00+0000
30,Decide,agent_2,2021-01-16 02:13:00+0000,2021-01-16 02:13:00+0000
30,Notify,agent_1,2021-01-16 02:47:00+0000,2021-01-16 02:47:00+0000
31,Receive,agent_0,2021-01-05 03:00:00+0000,2021-01-05 03:00:00+0000
31,Review,agent_1,2021-01-05 03:15:00+0000,2021-01-05 03:15:00+0000
31,Decide,agent_2,2021-01-05 06:14:00+0000,2021-01-05 06:14:00+0000
31,Notify,agent_2,2021-01-05 08:41:00+0000,2021-01-05 08:41:00+0000
32,Receive,agent_0,2021-01-28 13:00:00+0000,2021-01-28 13:00:00+0000
32,Review,agent_3,2021-01-28 15:40:00+0000,2021-01-28 15:40:00+0000
32,Decide,agent_3,2021-01-28 18:29:00+0000,2021-01-28 18:29:00+0000
32,Notify,agent_3,2021-01-28 21:17:00+0000,2021-01-28 21:17:00+0000
33,Receive,agent_1,2021-01-27 06:00:00+0000,2021-01-27 06:00:00+0000
33,Review,agent_3,2021-01-27 06:58:00+0000,2021-01-27 06:58:00+0000
33,Decide,agent_2,2021-01-27 09:33:00+0000,2021-01-27 09:33:00+0000
33,Notify,agent_1,2021-01-27 09:40:00+0000,2021-01-27 09:40:00+0000
34,Receive,agent_2,2021-01-15 21:00:00+0000,2021-01-15 21:00:00+0000
34,Review,agent_2,2021-01-15 22:31:00+0000,2021-01-15 22:31:00+0000
34,Decide,agent_2,2021-01-15 22:59:00+0000,2021-01-15 22:59:00+0000
34,Notify,agent_0,2021-01-16 01:42:00+0000,2021-01-16 01:42:00+0000
35,Receive,agent_1,2021-01-15 20:00:00+0000,2021-01-15 20:00:00+0000
35,Review,agent_2,2021-01-15 20:43:00+0000,2021-01-15 20:43:00+0000
35,Decide,agent_3,2021-01-15 22:20:00+0000,2021-01-15 22:20:00+0000
35,Notify,agent_1,2021-01-16 00:45:00+0000,2021-01-16 00:45:00+0000
36,Receive,agent_3,2021-01-09 05:00:00+0000,2021-01-09 05:00:00+0000
36,Review,agent_0,2021-01-09 06:06:00+0000,2021-01-09 06:06:00+0000
36,Decide,agent_1,2021-01-09 07:29:00+0000,2021-01-09 07:29:00+0000
36,Notify,agent_0,2021-01-09 09:47:00+0000,2021-01-09 09:47:00+0000
37,Receive,agent_2,2021-01-21 12:00:00+0000,2021-01-21 12:00:00+0000
37,Review,agent_3,2021-01-21 13:21:00+0000,2021-01-21 13:21:00+0000
37,Decide,agent_0,2021-01-21 13:53:00+0000,2021-01-21 13:53:00+0000
37,Notify,agent_3,2021-01-21 16:21:00+0000,2021-01-21 16:21:00+0000
38,Receive,agent_2,2021-01-18 17:00:00+0000,2021-01-18 17:00:00+0000
38,Review,agent_3,2021-01-18 17:36:00+0000,2021-01-18 17:36:00+0000
38,Decide,agent_3,2021-01-18 18:10:00+0000,2021-01-18 18:10:00+0000
38,Notify,agent_0,2021-01-18 20:04:00+0000,2021-01-18 20:04:00+0000
39,Receive,agent_1,2021-01-18 15:00:00+0000,2021-01-18 15:00:00+0000
39,Review,agent_3,2021-01-18 15:47:00+0000,2021-01-18 15:47:00+0000
39,Decide,agent_0,2021-01-18 18:35:00+0000,2021-01-18 18:35:00+0000
39,Notify,agent_0,2021-01-18 18:56:00+0000,2021-01-18 18:56:00+0000
40,Receive,agent_0,2021-01-13 18:00:00+0000,2021-01-13 18:00:00+0000
40,Review,agent_0,2021-01-13 19:43:00+0000,2021-01-13 19:43:00+0000
40,Decide,agent_3,2021-01-13 20:13:00+0000,2021-01-13 20:13:00+0000
40,Notify,agent_2,2021-01-13 22:40:00+0000,2021-01-13 22:40:00+0000
41,Receive,agent_1,2021-01-25 04:00:00+0000,2021-01-25 04:00:00+0000
41,Review,agent_0,2021-01-25 05:53:00+0000,2021-01-25 05:53:00+0000
41,Decide,agent_1,2021-01-25 07:32:00+0000,2021-01-25 07:32:00+0000
41,Notify,agent_1,2021-01-25 08:43:00+0000,2021-01-25 08:43:00+0000
42,Receive,agent_2,2021-01-12 12:00:00+0000,2021-01-12 12:00:00+0000
42,Review,agent_0,2021-01-12 12:34:00+0000,2021-01-12 12:34:00+0000
42,Decide,agent_3,2021-01-12 12:46:00+0000,2021-01-12 12:46:00+0000
42,Notify,agent_1,2021-01-12 15:44:00+0000,2021-01-12 15:44:00+0000
43,Receive,agent_3,2021-01-25 13:00:00+0000,2021-01-25 13:00:00+0000
43,Review,agent_1,2021-01-25 14:10:00+0000,2021-01-25 14:10:00+0000
43,Decide,agent_0,2021-01-25 16:59:00+0000,2021-01-25 16:59:00+0000
43,Notify,agent_1,2021-01-25 17:59:00+0000,2021-01-25 17:59:00+0000
44,Receive,agent_3,2021-01-12 18:00:00+0000,2021-01-12 18:00:00+0000
44,Review,agent_2,2021-01-12 19:41:00+0000,2021-01-12 19:41:00+0000
44,Decide,agent_1,2021-01-12 22:05:00+0000,2021-01-12 22:05:00+0000
44,Notify,agent_3,2021-01-12 22:36:00+0000,2021-01-12 22:36:00+0000
45,Receive,agent_3,2021-01-28 09:00:00+0000,2021-01-28 09:00:00+0000
45,Review,agent_3,2021-01-28 11:48:00+0000,2021-01-28 11:48:00+0000
45,Decide,agent_3,2021-01-28 14:06:00+0000,2021-01-28 14:06:00+0000
45,Notify,agent_2,2021-01-28 17:04:00+0000,2021-01-28 17:04:00+0000
46,Receive,agent_1,2021-01-25 14:00:00+0000,2021-01-25 14:00:00+0000
46,Review,agent_1,2021-01-25 16:23:00+0000,2021-01-25 16:23:00+0000
46,Decide,agent_2,2021-01-25 16:30:00+0000,2021-01-25 16:30:00+0000
46,Notify,agent_2,2021-01-25 17:56:00+0000,2021-01-25 17:56:00+0000
47,Receive,agent_1,2021-01-26 17:00:00+0000,2021-01-26 17:00:00+0000
47,Review,agent_1,2021-01-26 18:10:00+0000,2021-01-26 18:10:00+0000
47,Decide,agent_2,2021-01-26 19:52:00+0000,2021-01-26 19:52:00+0000
47,Notify,agent_0,2021-01-26 21:57:00+0000,2021-01-26 21:57:00+0000
48,Receive,agent_0,2021-01-26 08:00:00+0000,2021-01-26 08:00:00+0000
48,Review,agent_1,2021-01-26 08:21:00+0000,2021-01-26 08:21:00+0000
48,Decide,agent_0,2021-01-26 08:59:00+0000,2021-01-26 08:59:00+0000
48,Notify,agent_0,2021-01-26 10:20:00+0000,2021-01-26 10:20:00+0000
49,Receive,agent_1,2021-01-18 10:00:00+0000,2021-01-18 10:00:00+0000
49,Review,agent_3,2021-01-18 10:43:00+0000,2021-01-18 10:43:00+0000
49,Decide,agent_3,2021-01-18 12:23:00+0000,2021-01-18 12:23:00+0000
49,Notify,agent_0,2021-01-18 14:43:00+0000,2021-01-18 14:43:00+0000
50,Receive,agent_0,2021-01-08 04:00:00+0000,2021-01-08 04:00:00+0000
50,Review,agent_1,2021-01-08 05:54:00+0000,2021-01-08 05:54:00+0000
50,Decide,agent_3,2021-01-08 07:13:00+0000,2021-01-08 07:13:00+0000
50,Notify,agent_3,2021-01-08 09:21:00+0000,2021-01-08 09:21:00+0000
51,Receive,agent_1,2021-01-29 08:00:00+0000,2021-01-29 08:00:00+0000
51,Review,agent_0,2021-01-29 08:10:00+0000,2021-01-29 08:10:00+0000
51,Decide,agent_2,2021-01-29 09:01:00+0000,2021-01-29 09:01:00+0000
51,Notify,agent_2,2021-01-29 11:15:00+0000,2021-01-29 11:15:00+0000
52,Receive,agent_3,2021-01-07 03:00:00+0000,2021-01-07 03:00:00+0000
52,Review,agent_2,2021-01-07 04:12:00+0000,2021-01-07 04:12:00+0000
52,Decide,agent_3,2021-01-07 06:01:00+0000,2021-01-07 06:01:00+0000
52,Notify,agent_0,2021-01-07 07:44:00+0000,2021-01-07 07:44:00+0000
53,Receive,agent_1,2021-01-09 18:00:00+0000,2021-01-09 18:00:00+0000
53,Review,agent_2,2021-01-09 19:18:00+0000,2021-01-09 19:18:00+0000
53,Decide,agent_0,2021-01-09 19:37:00+0000,2021-01-09 19:37:00+0000
53,Notify,agent_3,2021-01-09 21:45:00+0000,2021-01-09 21:45:00+0000
54,Receive,agent_0,2021-01-25 07:00:00+0000,2021-01-25 07:00:00+0000
54,Review,agent_1,2021-01-25 09:57:00+0000,2021-01-25 09:57:00+0000
54,Decide,agent_3,2021-01-25 11:32:00+0000,2021-01-25 11:32:00+0000
54,Notify,agent_3,2021-01-25 11:46:00+0000,2021-01-25 11:46:00+0000
55,Receive,agent_0,2021-01-23 21:00:00+0000,2021-01-23 21:00:00+0000
55,Review,agent_3,2021-01-23 21:30:00+0000,2021-01-23 21:30:00+0000
55,Decide,agent_0,2021-01-23 22:13:00+0000,2021-01-23 22:13:00+0000
55,Notify,agent_1,2021-01-23 22:26:00+0000,2021-01-23 22:26:00+0000
56,Receive,agent_0,2021-01-18 03:00:00+0000,2021-01-18 03:00:00+0000
56,Review,agent_2,2021-01-18 05:25:00+0000,2021-01-18 05:25:00+0000
56,Decide,agent_3,2021-01-18 06:19:00+0000,2021-01-18 06:19:00+0000
56,Notify,agent_0,2021-01-18 08:29:00+0000,2021-01-18 08:29:00+0000
57,Receive,agent_2,2021-01-24 06:00:00+0000,2021-01-24 06:00:00+0000
57,Review,agent_0,2021-01-24 08:51:00+0000,2021-01-24 08:51:00+0000
57,Decide,agent_2,2021-01-24 11:50:00+0000,2021-01-24 11:50:00+0000
57,Notify,agent_3,2021-01-24 12:27:00+0000,2021-01-24 12:27:00+0000
58,Receive,agent_1,2021-01-09 12:00:00+0000,2021-01-09 12:00:00+0000
58,Review,agent_3,2021-01-09 12:14:00+0000,2021-01-09 12:14:00+0000
58,Decide,agent_2,2021-01-09 14:12:00+0000,2021-01-09 14:12:00+0000
58,Notify,agent_3,2021-01-09 15:05:00+0000,2021-01-09 15:05:00+0000
59,Receive,agent_0,2021-01-07 13:00:00+0000,2021-01-07 13:00:00+0000
59,Review,agent_3,2021-01-07 13:15:00+0000,2021-01-07 13:15:00+0000
59,Decide,agent_0,2021-01-07 14:25:00+0000,2021-01-07 14:25:00+0000
59,Notify,agent_1,2021-01-07 16:43:00+0000,2021-01-07 16:43:00+0000
60,Receive,agent_3,2021-01-08 07:00:00+0000,2021-01-08 07:00:00+0000
60,Review,agent_2,2021-01-08 09:14:00+0000,2021-01-08 09:14:00+0000
60,Decide,agent_1,2021-01-08 09:48:00+0000,2021-01-08 09:48:00+0000
60,Notify,agent_3,2021-01-08 11:42:00+0000,2021-01-08 11:42:00+0000
